stateId,population,urbanPercent,genderRatio,growthRate,medianAge
NG-AB,2845380,,,,
NG-AD,3178950,,,,
NG-AK,3902051,,,,
NG-AN,5177828,,,,
NG-BA,4653066,,,,
NG-BY,1704515,,,,
NG-BE,4253641,,,,
NG-BO,4171104,,,,
NG-CR,2892988,,,,
NG-DE,5112445,,,,
NG-EB,2176947,,,,
NG-ED,3233366,,,,
NG-EK,2398957,,,,
NG-EN,3267837,,,,
NG-FC,1406239,,,,
NG-GO,2365040,,,,
NG-IM,3927563,,,,
NG-JI,4361002,,,,
NG-KD,6113503,,,,
NG-KN,9401288,,,,
NG-KT,5801584,,,,
NG-KE,3256541,,,,
NG-KO,3314043,,,,
NG-KW,2365353,,,,
NG-LA,9113605,,,,
NG-NA,1869377,,,,
NG-NI,3954772,,,,
NG-OG,3751140,,,,
NG-ON,3460877,,,,
NG-OS,3416959,,,,
NG-OY,5580894,,,,
NG-PL,3206531,,,,
NG-RI,5198716,,,,
NG-SO,3702676,,,,
NG-TA,2294800,,,,
NG-YO,2321339,,,,
NG-ZA,3278873,,,,
