stateId,igr,igrPerCapita,faacAllocation,totalRevenue,unemploymentRate,povertyRate
NG-AB,40009340912.93,,,,,
NG-AD,20298222818.56,,,,,
NG-AK,75768017871.08,,,,,
NG-AN,42689648058.74,,,,,
NG-BA,32427554765.85,,,,,
NG-BY,64013288202.51,,,,,
NG-BE,20434774732.75,,,,,
NG-BO,27803527850.21,,,,,
NG-CR,47018239529.33,,,,,
NG-DE,157785188072.55,,,,,
NG-EB,13177829475.63,,,,,
NG-ED,91153908548.19,,,,,
NG-EK,35213748270.98,,,,,
NG-EN,180500141598.36,,,,,
NG-FC,282364055025.74,,,,,
NG-GO,20724823840.00,,,,,
NG-IM,25270602765.46,,,,,
NG-JI,59455563495.20,,,,,
NG-KD,71574658542.97,,,,,
NG-KN,74771014335.51,,,,,
NG-KT,39152790613.55,,,,,
NG-KE,16971704831.43,,,,,
NG-KO,32012618177.80,,,,,
NG-KW,71197075565.91,,,,,
NG-LA,1261556415048.56,,,,,
NG-NA,25518692329.97,,,,,
NG-NI,34660234106.71,,,,,
NG-OG,194933884872.57,,,,,
NG-ON,31251840302.79,,,,,
NG-OS,54767865323.88,,,,,
NG-OY,65287038267.92,,,,,
NG-PL,31139826680.23,,,,,
NG-RI,317303986832.38,,,,,
NG-SO,20845754441.54,,,,,
NG-TA,17460514087.44,,,,,
NG-YO,11084367202.33,,,,,
NG-ZA,25455960759.33,,,,,
