stateId,literacyRate,primaryEnrollment,secondaryEnrollment,infantMortality,electricityAccess,improvedWaterAccess,internetPenetration
NG-AB,74.5,97.9,89.75,,,,
NG-AD,56.1,99.3,60.25,,,,
NG-AK,74.3,98.9,97.7,,,,
NG-AN,71.7,105.9,82.3,,,,
NG-BA,49.9,79.3,37.8,,,,
NG-BY,88.1,95.7,84.3,,,,
NG-BE,50.2,107.2,76.35,,,,
NG-BO,N/A,N/A,N/A,,,,
NG-CR,61.9,95.3,93.95,,,,
NG-DE,80.6,105.6,93.7,,,,
NG-EB,61.6,114.1,78.4,,,,
NG-ED,70.4,106.2,84.4,,,,
NG-EK,76.0,104.8,95.35,,,,
NG-EN,75.1,106.0,98.0,,,,
NG-FC,79.9,117.2,87.75,,,,
NG-GO,51.9,68.2,46.1,,,,
NG-IM,75.4,104.9,91.15,,,,
NG-JI,35.3,89.6,34.0,,,,
NG-KD,54.9,90.3,80.7,,,,
NG-KN,45.5,86.5,63.95,,,,
NG-KT,45.5,83.1,36.1,,,,
NG-KE,56.9,50.7,26.75,,,,
NG-KO,60.6,105.6,96.65,,,,
NG-KW,54.2,82.3,61.85,,,,
NG-LA,92.8,100.4,81.45,,,,
NG-NA,46.9,100.7,76.1,,,,
NG-NI,33.6,67.4,47.75,,,,
NG-OG,72.6,98.9,83.4,,,,
NG-ON,74.8,98.7,76.35,,,,
NG-OS,72.1,103.7,83.6,,,,
NG-OY,73.2,93.5,75.3,,,,
NG-PL,62.6,112.3,78.95,,,,
NG-RI,82.1,94.9,92.35,,,,
NG-SO,40.9,52.6,25.55,,,,
NG-TA,55.1,90.3,56.75,,,,
NG-YO,36.7,40.6,26.15,,,,
NG-ZA,52.1,55.6,37.6,,,,
